Index,Cost Rank,Style,Summon Rank,Rarity,Text,Tags 1,Tags 2,Tags 3,Tags 4,Tags 5,Tags
185,Double,Stall,Regular,Uncommon,"Spend a double. Set an field token with ""A player's shields cannot be targeted if the player controls a unit on their side of the field.""",set-field-token,cannot-be-targeted,on-no-units,,,"set-field-token,cannot-be-targeted,on-no-units"
186,Double,Build,Regular,Uncommon,"Spend a double. Set a field token with ""If three units have been destroyed this turn, you may charge an additional time.""",set-field-token,on-unit-destroyed,add-charge,,,"set-field-token,on-unit-destroyed,add-charge"
187,Double,Stall,Regular,Uncommon,"Spend a double. Set an field token with ""If a player controls units, any damage dealt to their shields is retargeted among their units by the controller.""",set-field-token,on-receive-damage,retarget,,,"set-field-token,on-receive-damage,retarget"
188,Other,Build,Regular,Common,"Sacrifice X units, target a unit you control. Until end of turn, target unit gets +X power, where X is the combined power of the units sacrificed.",sacrifice-unit,power-gain,,,,"sacrifice-unit,power-gain"
189,Triple,Build,Regular,Common,"Spend a triple. Set a field token with ""When a unit you control is destroyed, you may instant summon a unit.""",set-field-token,on-unit-destroyed,,add-summon,,"set-field-token,on-unit-destroyed,add-summon"
190,Single,Stall,Regular,Uncommon,"Instant, spend a single. Retarget damage dealt to target unit to another target unit.",instant,retarget,direct-damage,,,"instant,retarget,direct-damage"
191,Double,Stall,Regular,Common,"Spend a double. Target the unit with the highest power on the field. Reduce its power by 3. Target the unit with the weakest power and increase its power by X, where X is the power lost by the highest power unit.",power-loss,power-gain,,,,"power-loss,power-gain"
192,Single,Crush,Regular,Common,"Spend a single. Set a 1 power typeless unit, which then battles a target unit.",set-unit,force-battle,,,,"set-unit,force-battle"
193,Other,Build,Ritual,Rare,"Ritual, discard 1. When this unit is captured and its captor activates an ability, target 1 energy token and gain control of it. This unit is released from capture.",discard,on-capture,on-ability-start,control-change,capture-end,"discard,on-capture,on-ability-start,control-change,capture-end"
194,Double,Build,Regular,Rare,"Spend a double. Set a field token with ""When you draw a die outside of the Draw Phase, draw +1 and discard 1.""",set-field-token,on-draw,draw,discard,,"set-field-token,on-draw,draw,discard"
195,Other,Stall,Ritual,Uncommon,"Ritual, banish 3 grave dice. If this unit would be destroyed when it has 1 or more power, return it to the field with 1 power.",sacrifice-grave,on-unit-destroyed,set-unit,,,"sacrifice-grave,on-unit-destroyed,set-unit"
196,Single,Crush,Regular,Uncommon,"Spend a single. Until end of turn, when this player discards a die, that player may deal 2 direct damage to a player's foremost shield.",on-discard,direct-damage,shield-loss,,,"on-discard,direct-damage,shield-loss"
197,Triple,Crush,Regular,Rare,"Spend a triple. Set a field token with ""When this player discards a die, that player may deal 2 direct damage to a player's foremost shield.""",set-field-token,on-discard,direct-damage,shield-loss,,"set-field-token,on-discard,direct-damage,shield-loss"
198,Double,Crush,Regular,Rare,"Spend a double. Set a field token with ""When any player discards a die, that player may deal 2 direct damage to a player's foremost shield.""",set-field-token,on-discard,direct-damage,shield-loss,,"set-field-token,on-discard,direct-damage,shield-loss"
199,Other,Stall,Fusion,Common,"Fusion, two units of 2 power or less. This unit has indestructible.",sacrifice-unit,indestructible,,,,"sacrifice-unit,indestructible"
200,Single,Build,Regular,Common,"Spend a single. Until end of turn, when a player deals damage to an opponent's shield, that player draws a die.",on-deal-damage,draw,,,,"on-deal-damage,draw"
201,Double,Build,Regular,Uncommon,"Spend a double. Set a field token with ""When a player deals damage to an opponent's shield, that player draws a die.""",set-field-token,on-deal-damage,draw,,,"set-field-token,on-deal-damage,draw"
202,Single,Build,Regular,Common,Spend a single. Discard your hand and draw 2.,discard,draw,,,,"discard,draw"
203,Double,Build,Regular,Uncommon,"Spend a double, target a captive of a unit you control. Gain control of captive and end capture.",target-captive,control-change,capture-end,,,"target-captive,control-change,capture-end"
204,Other,Build,Ritual,Uncommon,"Ritual, sacrifice a captive of a unit you control. This unit gets +2 for every captor you control.",sacrifice-unit,target-captive,power-gain,,,"sacrifice-unit,target-captive,power-gain"
205,Other,Crush,Ritual,Rare,"Ritual, sacrifice a captive of a unit you control. When attacking this unit gets +3 for every captor you control.",sacrifice-unit,target-captive,on-battle,power-gain,,"sacrifice-unit,target-captive,on-battle,power-gain"
206,Other,Crush,Ritual,Common,"Ritual, discard 1. When attacking this unit gets +1 power for each other unit you control.",on-battle,power-gain,,,,"on-battle,power-gain"
207,Triple,Crush,Regular,Common,"Spend a triple, target 3 units. Destroy target units.",destroy-unit,,,,,destroy-unit
208,Trigger,Crush,Regular,Common,"When this unit has 7 or more power, it has double-strike.",on-power-condition,double-strike,,,,"on-power-condition,double-strike"
209,Other,Crush,Regular,Common,Destroy this unit. Destroy a target unit with power double or less than this unit.,sacrifice-unit,destroy-unit,,,,"sacrifice-unit,destroy-unit"
210,Other,Crush,Regular,Common,Destroy this unit. Deal double this unit's power in direct damage to a target.,sacrifice-unit,direct-damage,,,,"sacrifice-unit,direct-damage"
211,Triple,Build,Regular,Uncommon,"Spend a triple. Set a field token with ""When a unit you control is destroyed, draw a die.""",set-field-token,on-unit-destroyed,draw,,,"set-field-token,on-unit-destroyed,draw"
212,Triple,Build,Regular,Uncommon,"Spend a triple. Set a field token with ""When a unit you control is destroyed, you may instant charge a die.""",set-field-token,on-unit-destroyed,add-charge,,,"set-field-token,on-unit-destroyed,add-charge"
213,Triple,Build,Regular,Uncommon,"Spend a triple. Set a field token with ""When a unit you control is destroyed, you may instant summon a unit.""",set-field-token,on-unit-destroyed,add-summon,,,"set-field-token,on-unit-destroyed,add-summon"
214,Single,Build,Regular,Common,"Spend a single. Until end of turn, this unit has double power.",on-power-gain,,,,,on-power-gain
215,Other,Crush,Regular,Common,Reduce this unit's power by 2. Deal 2 direct damage to a target unit.,sacrifice-power,direct-damage,,,,"sacrifice-power,direct-damage"
216,Double,Build,Regular,Rare,"Spend a double. Set an equip token with ""This unit cannot battle. Once per turn, you may reduce this unit's power by X and set an X power unit with this type.""",set-equip-token,cannot-battle,power-loss,set-unit,,"set-equip-token,cannot-battle,power-loss,set-unit"
217,Other,Crush,Ritual,Uncommon,"Ritual. When this unit enters the field it gets +2 power. At the end of your battle phase if this unit did not battle, destroy this unit.",on-set-unit,power-gain,must-battle,,,"on-set-unit,power-gain,must-battle"
218,Single,Crush,Regular,Common,"Spend a single. Set an equip token with ""This unit has withering.""",set-equip-token,withering,,,,"set-equip-token,withering"
219,Other,Crush,Ritual,Common,"Ritual, banish 2 grave dice. This unit has withering.",sacrifice-grave,withering,,,,"sacrifice-grave,withering"
220,Other,Build,Ritual,Common,"Ritual, spend 2 shield. When this unit enters the field, until end of turn you may charge an additional time.",sacrifice-shield,add-charge,,,,"sacrifice-shield,add-charge"
221,Other,Build,Regular,Common,"Once per turn, spend 2 shield power. You may charge an additional time.",sacrifice-shield,add-charge,,,,"sacrifice-shield,add-charge"
222,Other,Build,Regular,Common,Spend 3 shield. This unit gets +3 power.,sacrifice-shield,power-gain,,,,"sacrifice-shield,power-gain"
223,Other,Build,Fusion,Uncommon,"Fusion summon, two units from 1 archetype. When this unit enters the field, draw 1.",sacrifice-unit,on-type-enter,draw,,,"sacrifice-unit,on-type-enter,draw"
224,Other,Crush,Fusion,Uncommon,"Fusion summon, two units from 1 archetype. This unit inflicts withering in battle.",sacrifice-unit,on-battle,withering,,,"sacrifice-unit,on-battle,withering"
225,Other,Crush,Fusion,Uncommon,"Fusion summon, three units from 1 archetype. When this unit battles a unit, it may inflict damage equal to its power to up to 2 additional units.",sacrifice-unit,on-battle,direct-damage,,,"sacrifice-unit,on-battle,direct-damage"
226,Other,Build,Fusion,Rare,"Fusion summon, two units from 2 archetypes. When this unit enters the field, double its power. This unit loses 2 power at the end of its turn.",sacrifice-unit,on-type-enter,power-gain,power-loss,,"sacrifice-unit,on-type-enter,power-gain,power-loss"
227,Other,Stall,Fusion,Rare,"Fusion summon, two units from 2 archetypes. When this unit enters the field, double its power. This unit cannot attack (can defend).",sacrifice-unit,on-type-enter,power-gain,cannot-attack,,"sacrifice-unit,on-type-enter,power-gain,cannot-attack"
228,Other,Crush,Realm,Common,"Realm summon. If a unit did not battle during its turn, at the end of its turn destroy it.",set-field-token,destroy-unit,,,,"set-field-token,destroy-unit"
229,Single,Stall,Regular,Common,"Spend a single, target a unit you control. Target unit cannot be destroyed by battle this turn.",cannot-be-destroyed,,,,,cannot-be-destroyed
230,Other,Build,Realm,Common,"Realm summon. At the start of a player's turn, they must set a 1 power typeless unit on their field.",set-field-token,set-unit,,,,"set-field-token,set-unit"
231,Other,Stall,Realm,Uncommon,Realm summon. Units below 3 power cannot battle.,set-field-token,on-power-condition,cannot-battle,,,"set-field-token,on-power-condition,cannot-battle"
232,Other,Stall,Realm,Rare,"Realm summon. At the start of a player's turn, on each of their units set an equip token with ""When this unit battles, it loses X power where X is the number of equip tokens it has. Destroy all equip tokens on this unit.""",set-field-token,set-equip-token,on-battle,power-loss,destroy-equip-token,"set-field-token,set-equip-token,on-battle,power-loss,destroy-equip-token"
233,Other,Crush,Relic,Uncommon,"Relic summon. When this unit is destroyed in battle, deal 3 damage to a target unit or shield.",set-equip-token,on-unit-destroyed,direct-damage,,,"set-equip-token,on-unit-destroyed,direct-damage"
234,Other,Crush,Relic,Uncommon,"Relic summon. When this unit battles, it may inflict damage equal to its power to an additional unit.",set-equip-token,on-battle,direct-damage,,,"set-equip-token,on-battle,direct-damage"
235,Other,Stall,Relic,Uncommon,"Relic summon. If this unit would be destroyed when it has 1 or more power, return it to the field with 1 power.",set-equip-token,on-unit-destroyed,set-unit,,,"set-equip-token,on-unit-destroyed,set-unit"
236,Other,Build,Relic,Uncommon,"Relic summon. When this unit is destroyed in battle, deal 3 damage to a target unit or shield.",set-equip-token,on-unit-destroyed,direct-damage,,,"set-equip-token,on-unit-destroyed,direct-damage"
237,Other,Build,Relic,Uncommon,"Relic summon. When this unit is destroyed, you may charge an additional time.",set-equip-token,on-unit-destroyed,add-charge,,,"set-equip-token,on-unit-destroyed,add-charge"
238,Other,Crush,Relic,Uncommon,"Relic summon. This unit has piercing. If this unit did not battle this turn, at the end of its turn destroy it.",set-equip-token,piercing,destroy-unit,,,"set-equip-token,piercing,destroy-unit"
239,Other,Build,Relic,Uncommon,Relic summon. This unit has +X power where X is half the number of dice in the controller's grave.,set-equip-token,power-gain,grave-count,,,"set-equip-token,power-gain,grave-count"
240,Other,Build,Ritual,Uncommon,"Ritual summon, when five or more units battle this turn. You may Instant summon this.",on-battle,instant,add-summon,,,"on-battle,instant,add-summon"
241,Other,Build,Regular,Common,Banish 4 dice from your grave. Set one 4 power typeless unit.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
242,Double,Stall,Regular,Uncommon,Spend a double. Battles cannot be declared by any player until the start of your next turn.,cannot-battle,cannot-attack,cannot-defend,,,"cannot-battle,cannot-attack,cannot-defend"
243,Single,Build,Regular,Common,"Spend a single. Set an equip token with ""This unit has Draining attacks,"" on a target unit.",set-equip-token,drain,,,,"set-equip-token,drain"
244,Other,Build,Regular,Common,"Once per turn, reduce this unit's power by 2. You may charge an additional time.",sacrifice-power,add-charge,,,,"sacrifice-power,add-charge"
245,Other,Stall,Regular,Common,"Once per turn, this unit may Instant Drain a unit you control for any amount of power.",instant,drain,,,,"instant,drain"
246,Triple,Crush,Regular,Rare,"Spend a triple. Set an equip token with ""Once per turn, you may inflict 1 direct shield damage to your opponent for each unit and token on the field"" on a unit you control.",set-equip-token,direct-damage,unit-count,token-count,,"set-equip-token,direct-damage,unit-count,token-count"
247,Triple,Crush,Regular,Rare,"Spend a triple. Set a field token with ""You may sacrifice this token to give target unit you control +2 power and Haste until end of turn. At the end of your turn if you control one of this token, create a copy of this token.""",set-field-token,sacrifice-field,power-gain,haste,,"set-field-token,sacrifice-field,power-gain,haste"
248,Other,Build,Fusion,Rare,"Fusion, 2 units 2 archetypes. This unit has Draining Attacks. Once per turn, this unit may Instant Drain a unit you control for any amount of power.",sacrifice-unit,instant,drain,drain,,"sacrifice-unit,instant,drain,drain"
249,Other,Build,Regular,Uncommon,"Once per turn, you may reduce this unit's power by 3 and Instant Summon a unit with one of its Fusion Material Archetypes.",sacrifice-power,instant,add-summon,,,"sacrifice-power,instant,add-summon"
250,Other,Stall,Regular,Uncommon,"Once per turn, this unit may Instant Drain itself to a target shield, up to 6 power max.",shield-gain,instant,drain,,,"shield-gain,instant,drain"
251,Other,Build,Fusion,Rare,"Fusion, 2 units 2 archetypes. Once per turn, you may reduce this unit's power by 3 and Instant Summon a unit with one of its Fusion Material Archetypes.",sacrifice-unit,sacrifice-power,instant,add-summon,,"sacrifice-unit,sacrifice-power,instant,add-summon"
252,Other,Crush,Ritual,Common,"Ritual, discard 1. This unit has Withering attacks.",discard,withering,,,,"discard,withering"
